kList(4),            Time(us),                Time%,   Calls (Top 364, sorted by time)
-------------------------------------------------------------
('aten::empty', 'aten::copy_', 'aten::view', 'aten::t'), 638.7560000000776, 0.022256006815515116%, 12
('aten::resize_', 'aten::mul', 'aten::empty', 'aten::conj'), 636.1750000000466, 0.022166077713335994%, 24
('aten::empty_strided', 'aten::copy_', 'aten::sub', 'aten::empty'), 626.4829999997164, 0.021828381913901945%, 24
('aten::embedding_backward', 'aten::embedding_dense_backward', 'aten::zeros', 'aten::empty'), 613.4070000002393, 0.02137277829513672%, 2
('aten::empty', 'aten::copy_', 'aten::view', 'aten::expand'), 573.1259999999838, 0.01996927803754017%, 12
('aten::empty', 'aten::conj', 'aten::div', 'aten::empty'), 569.243999999715, 0.019834018535533453%, 24
('aten::copy_', 'aten::empty', 'aten::mul', 'aten::empty'), 569.0329999995301, 0.019826666718185063%, 24
('aten::empty', 'aten::div', 'aten::empty', 'aten::conj'), 560.5680000002612, 0.019531722956127186%, 24
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::mul'), 555.822999999451, 0.019366394172745677%, 24
('aten::copy_', 'aten::view', 'aten::expand', 'aten::as_strided'), 538.7149999999574, 0.01877030464154986%, 12
('aten::clone', 'aten::empty_strided', 'aten::copy_', 'aten::masked_fill_'), 506.3810000004014, 0.01764369960870023%, 12
('aten::_unsafe_view', 'aten::view', 'aten::div', 'aten::to'), 506.21299999999155, 0.017637846029001366%, 12
('aten::empty', 'aten::mul', 'aten::to', 'aten::empty_strided'), 497.75099999981467, 0.01734300679512051%, 24
('aten::as_strided', 'aten::view', 'aten::expand', 'aten::as_strided'), 476.6709999999439, 0.0166085219156546%, 12
('aten::view', 'aten::div', 'aten::to', 'aten::empty_strided'), 449.5630000000165, 0.01566400502226605%, 12
('aten::item', 'aten::_local_scalar_dense', 'aten::to', 'aten::empty_strided'), 438.85199999992346, 0.015290804474634366%, 36
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::eq'), 438.77500000005693, 0.01528812158395025%, 12
('aten::copy_', 'aten::empty', 'aten::eq', 'aten::empty'), 433.95100000006005, 0.015120040224435877%, 12
('aten::masked_fill_', 'aten::view', 'aten::add', 'aten::dropout'), 429.923, 0.014979693682948641%, 1
('aten::resize_', 'aten::_unsafe_view', 'aten::view', 'aten::div'), 419.6969999999501, 0.014623391862384073%, 12
('aten::view', 'aten::add', 'aten::dropout', 'aten::empty_like'), 412.653, 0.014377959628467904%, 1
('aten::_local_scalar_dense', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 376.3260000001528, 0.01311222754989061%, 36
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::resize_'), 373.5649999999732, 0.01301602675518711%, 36
('aten::conj', 'aten::div', 'aten::to', 'aten::empty_strided'), 370.75000000023283, 0.01291794445274316%, 12
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::sum'), 364.82400000013877, 0.012711466397913426%, 24
('aten::result_type', 'aten::empty_like', 'aten::empty_strided', 'aten::result_type'), 359.63699999964956, 0.012530737125134852%, 24
('aten::copy_', 'aten::empty', 'aten::sum', 'aten::empty'), 355.4949999996461, 0.012386418511720764%, 24
('aten::embedding_dense_backward', 'aten::zeros', 'aten::empty', 'aten::zero_'), 319.0000000001164, 0.011114832853469949%, 2
('aten::empty_like', 'aten::empty_strided', 'aten::result_type', 'aten::can_cast'), 306.96599999940736, 0.010695535365800703%, 24
('aten::copy_', 'aten::unsqueeze', 'aten::as_strided', 'aten::embedding'), 303.7419999999999, 0.010583202384255285%, 1
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::masked_fill_'), 302.4719999999552, 0.01053895210925717%, 12
('aten::unsqueeze', 'aten::as_strided', 'aten::embedding', 'aten::reshape'), 300.6299999999999, 0.01047477178914561%, 1
('aten::as_strided', 'aten::embedding', 'aten::reshape', 'aten::view'), 298.5539999999999, 0.01040243826875754%, 1
