kList(5),            Time(us),                Time%,   Calls (Top 482, sorted by time)
-------------------------------------------------------------
('aten::as_strided', 'aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::sigmoid'), 12341.01999999967, 0.2790173722870795%, 12
('aten::resize_', 'aten::zero_', 'aten::fill_', 'aten::resize_', 'aten::zero_'), 12234.350999999791, 0.2766056993391014%, 8
('aten::addmm_', 'aten::squeeze', 'aten::as_strided', 'aten::glu', 'aten::empty'), 12233.646000000044, 0.2765897600368888%, 6
('aten::resize_', 'aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_'), 11516.164000000028, 0.2603682530380112%, 3
('aten::empty', 'aten::resize_', 'aten::cat', 'aten::_cat', 'aten::empty'), 11508.827000000005, 0.2602023712502435%, 3
('aten::zero_', 'aten::fill_', 'aten::resize_', 'aten::zero_', 'aten::resize_'), 11463.38500000001, 0.25917497582981075%, 6
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 11175.40100000007, 0.2526639630496105%, 1
('aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_', 'aten::randint'), 10440.405, 0.23604648308753773%, 1
('aten::select', 'aten::as_strided', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 9297.143999999971, 0.21019856451530336%, 4
('aten::as_strided', 'aten::resize_', 'aten::zero_', 'aten::fill_', 'aten::resize_'), 9293.72900000005, 0.21012135498753837%, 4
('aten::arange', 'aten::resize_', 'aten::add', 'aten::gather', 'aten::empty'), 9131.631000000001, 0.2064564911421669%, 1
('aten::empty', 'aten::arange', 'aten::resize_', 'aten::add', 'aten::gather'), 9131.119999999999, 0.206444937974176%, 1
('aten::l1_loss', 'aten::empty', 'aten::l1_loss', 'aten::sub', 'aten::empty'), 9078.672000000079, 0.20525914432489167%, 1
('aten::broadcast_tensors', 'aten::l1_loss', 'aten::empty', 'aten::l1_loss', 'aten::sub'), 9075.283000000054, 0.20518252262954656%, 1
('aten::add', 'aten::gather', 'aten::empty', 'aten::resize_', 'aten::view'), 9040.741000000002, 0.2044015646476654%, 1
